Symbol, StockName,Sector,Industry,Currency,Board
WG,WHITE GROUP PUBLIC COMPANY LIMITED,Industrials,Petrochemicals & Chemicals,THB,SET
WHA,WHA CORPORATION PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
WHABT,WHA BUSINESS COMPLEX FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property & Construction,Property Fund & REITs,THB,SET
WHART,WHA PREMIUM GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property & Construction,Property Fund & REITs,THB,SET
WHAUP,WHA UTILITIES AND POWER PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,THB,SET
WICE,WICE LOGISTICS PUBLIC COMPANY LIMITED,Services,Transportation & Logistics,THB,SET
WIIK,WIIK PUBLIC COMPANY LIMITED,Property & Construction,Construction Materials,THB,SET
WIN,WYNCOAST INDUSTRIAL PARK PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
WINNER,WINNER GROUP ENTERPRISE PUBLIC COMPANY LIMITED,Services,-,THB,mai
WORK,WORKPOINT ENTERTAINMENT PUBLIC COMPANY LIMITED,Services,Media & Publishing,THB,SET
WORLD,WORLD CORPORATION PUBLIC COMPANY LIMITED,-,Companies Under Rehabilitation,NaN,SET
WP,WP ENERGY PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,THB,SET
WPH,WATTANAPAT HOSPITAL TRANG PUBLIC COMPANY LIMITED,Services,Health Care Services,THB,SET
WR,WE RETAIL PUBLIC COMPANY LIMITED,-,Companies Under Rehabilitation,NaN,SET
XO,EXOTIC FOOD PUBLIC COMPANY LIMITED,Agro & Food Industry,-,THB,mai
YCI,YONG THAI PUBLIC COMPANY LIMITED,Industrials,Petrochemicals & Chemicals,USD,SET
YGG,YGGDRAZIL GROUP PUBLIC COMPANY LIMITED,Services,-,THB,mai
YUASA,YUASA BATTERY (THAILAND) PUBLIC COMPANY LIMITED,Industrial,-,THB,mai
ZEN,ZEN CORPORATION GROUP PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,THB,SET
ZIGA,ZIGA INNOVATION PUBLIC COMPANY LIMITED,Industrial,-,THB,mai
ZMICO,SEAMICO SECURITIES PUBLIC COMPANY LIMITED,Financials,Finance & Securities,NaN,SET
